,,,,,,,,,,,,,,,,
,8000,2023-05-06 22:28:08,Lido DAO,LDO,1.84,1619752112,0.14,877992841.90377,False,39703023,0.51,-4.89,-12.14,-27.65,-25.48,-9.23
,11841,2023-05-06 22:28:08,Arbitrum,ARB,1.25,1590659068,0.13,1275000000,False,475509026,0.01,-7.62,-8.48,4.02,-89.42,-89.42
,6535,2023-05-06 22:28:08,NEAR Protocol,NEAR,1.77,1587551591,0.13,897253153,False,55720326,0.09,-5.47,-8.58,-10.5,-9.75,-25.54
,3077,2023-05-06 22:28:08,VeChain,VET,0.02,1472067227,0.12,72511146418,False,35038007,-0.02,-4.28,-10.39,-16.15,-11.82,-16.26
,3155,2023-05-06 22:28:08,Quant,QNT,110.98,1339795540,0.11,12072738,False,14690302,-0.18,-2.68,-5.71,-8.21,-8.49,-20.12
,18876,2023-05-06 22:28:08,ApeCoin,APE,3.59,1321685378,0.11,368593750,False,52856754,-0.3,-5.41,-11.92,-14.33,-22.64,-37.47
,4030,2023-05-06 22:28:08,Algorand,ALGO,0.17,1263859053,0.11,7226368562.044099,False,35755739,-0.03,-4.1,-4.49,-19.12,-18.39,-31.41
,3513,2023-05-06 22:28:08,Fantom,FTM,0.41,1148278125,0.1,2788030454.8100953,False,101761964,-0.11,-5.4,-4.12,-8.87,5.17,-27.04
,6719,2023-05-06 22:28:08,The Graph,GRT,0.13,1133200716,0.1,8950007538.91402,False,26302242,0.08,-5.96,-9.0,-12.8,-5.16,-0.45
,1765,2023-05-06 22:28:08,EOS,EOS,0.99,1076309977,0.09,1090288738.2736,False,133890496,0.12,-2.8,-5.26,-19.36,-15.44,-8.46
,6210,2023-05-06 22:28:08,The Sandbox,SAND,0.55,1009781140,0.09,1838881926.2233226,False,59124127,-0.1,-4.87,-7.2,-13.29,-8.11,-24.81
,7278,2023-05-06 22:28:08,Aave,AAVE,69.78,1003918388,0.08,14386604.74159447,False,46012080,-0.07,-5.2,-2.72,-12.73,-5.72,-18.37
,6892,2023-05-06 22:28:08,MultiversX,EGLD,39.45,1001174635,0.08,25378558,False,22062882,0.52,-1.39,-5.66,-4.34,-4.89,-12.61
,1966,2023-05-06 22:28:08,Decentraland,MANA,0.52,972000836,0.08,1878271531.8299441,False,37309694,-0.03,-3.94,-6.61,-13.01,-10.29,-29.48
,4847,2023-05-06 22:28:08,Stacks,STX,0.7,969659242,0.08,1376005726.38896,False,63252813,-0.56,-2.92,-2.44,-14.43,6.23,140.43
,2416,2023-05-06 22:28:08,Theta Network,THETA,0.96,959592146,0.08,1000000000,False,10670716,-0.14,-4.39,-6.1,-10.52,-2.18,-11.82
,24478,2023-05-06 22:28:08,Pepe,PEPE,0.0,941187181,0.08,391790000000000,False,1694945427,-6.0,-27.32,484.3,4125.59,4125.59,4125.59
,2943,2023-05-06 22:28:08,Rocket Pool,RPL,48.28,933309479,0.08,19329235.92980706,False,6679343,0.09,-5.14,2.9,5.1,33.26,24.84
,2011,2023-05-06 22:28:08,Tezos,XTZ,0.99,923170409,0.08,936747658.019867,False,14896233,-0.02,-3.98,-4.05,-13.43,-9.94,-15.51
,11221,2023-05-06 22:28:08,BitDAO,BIT,0.49,911249134,0.08,1843669912.2107098,False,5740718,-0.37,-2.9,-1.33,-5.44,-4.46,-12.08
,4558,2023-05-06 22:28:08,Flow,FLOW,0.85,875971730,0.07,1036200000,False,16057126,-0.0,-4.23,-6.67,-16.49,-15.01,-22.08
,4066,2023-05-06 22:28:08,Chiliz,CHZ,0.13,871675989,0.07,6965647158.46161,False,42908562,0.01,-4.37,-1.59,-3.18,5.06,-9.36
,6783,2023-05-06 22:28:08,Axie Infinity,AXS,7.37,858924491,0.07,116472379.230393,False,28614013,-0.1,-4.77,-7.84,-13.2,-13.06,-32.08
,7334,2023-05-06 22:28:08,Conflux,CFX,0.29,818888121,0.07,2789135247.4076915,False,111075112,-0.54,-8.87,-10.28,-20.71,44.84,374.61
,10603,2023-05-06 22:28:08,Immutable,IMX,0.86,786397788,0.07,914163545.5400242,False,24092311,0.16,-6.04,-14.72,-18.38,-19.76,-2.49
,3330,2023-05-06 22:28:08,Pax Dollar,USDP,1.0,755880803,0.06,757552716.46,False,1952627,0.04,0.4,-0.28,-0.04,-0.04,-0.22
,5690,2023-05-06 22:28:08,Render Token,RNDR,2.07,754189429,0.06,363911539.10879594,False,103995918,-0.2,-5.74,-12.41,60.37,80.4,17.09
,6538,2023-05-06 22:28:08,Curve DAO Token,CRV,0.91,738872808,0.06,812392218,False,35051937,0.16,-5.46,-2.47,-8.81,-5.43,-11.83
,19891,2023-05-06 22:28:08,USDD,USDD,1.0,736581822,0.06,736785225.811751,False,19654105,0.05,-0.01,0.99,1.13,-0.06,0.7
,2087,2023-05-06 22:28:08,KuCoin Token,KCS,7.54,731463013,0.06,96974735.45697574,False,1679322,0.17,-1.91,-7.12,-10.08,-11.04,-12.86
,1376,2023-05-06 22:28:08,Neo,NEO,10.02,707061026,0.06,70538831,False,30380581,-0.14,-3.8,-7.85,-19.34,-11.63,15.0
,20947,2023-05-06 22:28:08,Sui,SUI,1.31,694141294,0.06,528273718,False,548712425,-0.99,0.13,-70.92,-70.92,-70.92,-70.92
,4256,2023-05-06 22:28:08,Klaytn,KLAY,0.22,689496178,0.06,3090863422.4528127,False,17256588,-0.1,-3.21,-1.93,-9.55,1.19,11.3
,1518,2023-05-06 22:28:08,Maker,MKR,689.85,674414570,0.06,977631.03695089,False,24466616,-0.06,-4.92,-2.84,-4.23,-24.09,0.96
,3602,2023-05-06 22:28:08,Bitcoin SV,BSV,32.51,626311080,0.05,19266076.64423905,False,27804570,0.03,-2.22,-4.8,-11.12,-12.75,-27.02
,5899,2023-05-06 22:28:08,Casper,CSPR,0.06,623562041,0.05,10993070415,False,12837661,-0.56,-5.62,-0.93,36.49,47.87,47.19
,2586,2023-05-06 22:28:08,Synthetix,SNX,2.4,620574799,0.05,258973977.89221463,False,24400629,-0.11,-6.94,-3.23,-10.03,-15.38,-5.83
,11857,2023-05-06 22:28:08,GMX,GMX,68.72,597204675,0.05,8690486.44105721,False,25631400,0.09,-4.18,-5.05,-12.87,-2.98,3.24
,11840,2023-05-06 22:28:08,Optimism,OP,1.89,594237390,0.05,314844141,False,101199077,0.05,-4.48,-13.24,-15.86,-18.86,-35.58
,1437,2023-05-06 22:28:08,Zcash,ZEC,35.99,587695609,0.05,16328268.75,False,23194297,0.31,-3.44,-6.43,-3.95,-2.51,-18.37
,7226,2023-05-06 22:28:08,Injective,INJ,7.28,582540769,0.05,80005555.33,False,60825079,-0.46,-7.75,-9.48,27.62,133.33,102.89
,16086,2023-05-06 22:28:08,BitTorrent(New),BTT,0.0,575612297,0.05,951421714286000,False,14524710,-0.05,-1.61,-3.86,-3.22,-11.5,-18.3
,4172,2023-05-06 22:28:08,Terra Classic,LUNC,0.0,567378121,0.05,5889355250365.893,False,49586395,-0.27,-6.05,-13.74,-21.79,-31.01,-46.68
,4705,2023-05-06 22:28:08,PAX Gold,PAXG,2025.02,549313954,0.05,271263.71,False,7760404,0.07,0.27,1.35,0.38,12.07,9.1
,8646,2023-05-06 22:28:08,Mina,MINA,0.6,537528790,0.05,896061411.8400393,False,14603331,0.21,-5.23,-11.74,-19.02,-20.73,-23.33
,3306,2023-05-06 22:28:08,Gemini Dollar,GUSD,1.01,537158418,0.05,534239916.81,False,584164,0.15,-0.5,-0.29,0.51,1.79,0.73
,6953,2023-05-06 22:28:08,Frax Share,FXS,7.46,535372107,0.05,71763239.27781585,False,13383047,-0.05,-5.64,-6.76,-22.14,-18.64,-24.38
,1720,2023-05-06 22:28:08,IOTA,MIOTA,0.19,534146456,0.04,2779530283,False,5840332,0.13,-3.75,-4.37,-14.8,-6.87,-18.92
,10791,2023-05-06 22:28:08,eCash,XEC,0.0,533883812,0.04,19379954673303,False,5658043,0.44,-2.59,-9.55,-14.52,-8.25,-25.25
,131,2023-05-06 22:28:08,Dash,DASH,45.62,513991601,0.04,11265620.41109114,False,74603721,0.36,-6.43,-10.76,-18.95,-24.78,-22.66
,4269,2023-05-06 22:28:08,GateToken,GT,5.24,512441563,0.04,97786440.4868557,False,872891,0.12,-0.97,-1.15,-0.55,10.08,22.23
,2634,2023-05-06 22:28:08,XDC Network,XDC,0.04,502896725,0.04,13833909833.7,False,3284132,-0.02,-2.81,-10.12,-9.76,21.22,26.55
,2502,2023-05-06 22:28:08,Huobi Token,HT,3.01,487722568,0.04,162233844,False,7570051,0.07,-5.4,-14.59,-16.14,-38.75,-45.86
,5964,2023-05-06 22:28:08,Trust Wallet Token,TWT,1.14,476275422,0.04,416649900,False,9668310,0.16,-2.47,-2.41,-7.1,-7.06,-29.03
,7501,2023-05-06 22:28:08,WOO Network,WOO,0.28,472951395,0.04,1679200261.9474416,False,41369126,-0.81,-8.28,4.75,32.58,56.18,32.0
,7186,2023-05-06 22:28:08,PancakeSwap,CAKE,2.21,444137657,0.04,201184178.8299836,False,70525098,-0.49,-11.12,-18.19,-39.71,-40.62,-50.04
,7950,2023-05-06 22:28:08,Flare,FLR,0.03,434354662,0.04,14688418153.607918,False,22191210,-2.61,3.53,-7.83,-14.94,-16.18,-24.24
,1934,2023-05-06 22:28:08,Loopring,LRC,0.32,423810416,0.04,1331430934.7522666,False,17787603,-0.04,-5.27,-8.16,-9.82,1.26,-13.76
,4157,2023-05-06 22:28:08,THORChain,RUNE,1.29,421853807,0.04,325929060,False,16168302,0.06,-3.63,-5.22,-17.16,-10.57,-26.83
,2469,2023-05-06 22:28:08,Zilliqa,ZIL,0.03,418866427,0.04,15867699446.7699,False,22042933,-0.16,-3.45,-8.26,-10.04,1.38,-7.02
,9903,2023-05-06 22:28:08,Convex Finance,CVX,5.18,399071586,0.03,76980945.7498687,False,5357364,0.18,-4.73,-1.81,-1.73,-11.66,-14.86
,2694,2023-05-06 22:28:08,Nexo,NEXO,0.7,393059241,0.03,560000011,False,4625654,0.05,-0.66,-0.95,5.08,10.61,-8.09
,10804,2023-05-06 22:28:08,FLOKI,FLOKI,0.0,380541801,0.03,9711321341102.75,False,172655737,-0.94,-17.84,10.32,13.9,-4.91,38.08
,11156,2023-05-06 22:28:08,dYdX,DYDX,2.38,371843260,0.03,156256174,False,66016660,0.12,-7.63,-10.41,-6.82,8.11,-20.23
,2130,2023-05-06 22:28:08,Enjin Coin,ENJ,0.37,369169107,0.03,1000000000,False,12189701,-0.0,-4.49,-7.13,-10.94,-12.36,-18.17
,4846,2023-05-06 22:28:08,Kava,KAVA,0.72,367824121,0.03,508290318,False,33230909,0.29,-9.56,-9.53,-16.56,-9.19,-24.82
,8104,2023-05-06 22:28:08,1inch Network,1INCH,0.45,364732179,0.03,816885607.1122802,False,14133051,0.05,-3.73,-10.16,-16.47,-10.78,-19.97
,1697,2023-05-06 22:28:08,Basic Attention Token,BAT,0.23,347127567,0.03,1488639030.4163349,False,12424055,-0.02,-4.43,-7.7,-17.92,-5.15,-16.29
,12220,2023-05-06 22:28:08,Osmosis,OSMO,0.7,345594553,0.03,492590761,False,7759469,-0.36,-5.0,-10.5,-11.28,-16.03,-30.86
,8425,2023-05-06 22:28:08,JasmyCoin,JASMY,0.01,345253988,0.03,47569999998.88511,False,106862061,-0.72,-5.31,7.61,39.99,39.4,-1.82
,2424,2023-05-06 22:28:08,SingularityNET,AGIX,0.28,340540563,0.03,1214471357.2620106,False,53018859,-0.06,-8.21,-18.53,-30.62,-30.24,-35.93
,8536,2023-05-06 22:28:08,Mask Network,MASK,4.23,339028120,0.03,80125000,False,51606197,-0.14,-6.92,-10.0,-21.7,14.32,-6.35
,7653,2023-05-06 22:28:08,Oasis Network,ROSE,0.06,334602626,0.03,5725718533,False,19016574,0.27,-3.17,-6.79,-2.08,6.96,9.33
,873,2023-05-06 22:28:08,NEM,XEM,0.04,323603782,0.03,8999999999,False,7528612,0.02,-0.46,-4.0,-13.04,-7.38,-10.22
,13855,2023-05-06 22:28:08,Ethereum Name Service,ENS,11.27,321207741,0.03,28502913.30558746,False,20949387,0.03,-6.53,-8.65,-14.1,-17.02,-25.96
,2682,2023-05-06 22:28:08,Holo,HOT,0.0,309585308,0.03,173467411323.5712,True,15769657,0.1,-2.96,-5.98,-8.49,3.21,-16.33
,20314,2023-05-06 22:28:08,Terra,LUNA,1.13,302151189,0.03,266458713.639209,False,40607011,0.58,-6.5,-10.78,-10.37,-22.29,-44.93
,5728,2023-05-06 22:28:08,Balancer,BAL,6.06,299011133,0.03,49360826.60636681,False,4335484,0.22,-3.51,-1.34,-14.27,-2.51,-11.44
,1659,2023-05-06 22:28:08,Gnosis,GNO,114.64,296866068,0.03,2589588,False,3028219,0.01,-2.74,5.45,1.65,11.34,-1.35
,3822,2023-05-06 22:28:08,Theta Fuel,TFUEL,0.05,294006730,0.02,6126700264,False,4493644,0.08,-2.86,-5.16,-14.59,-5.58,-15.91
,5692,2023-05-06 22:28:08,Compound,COMP,39.29,292809890,0.02,7453068.6223592,False,12276653,0.22,-3.83,-6.88,-8.38,-11.85,-24.15
,1684,2023-05-06 22:28:08,Qtum,QTUM,2.78,290826531,0.02,104645482,False,32234646,0.19,-3.4,-3.97,-13.79,-3.71,-0.77
,3783,2023-05-06 22:28:08,Ankr,ANKR,0.03,289887165,0.02,10000000000,False,26418968,0.16,-3.81,-7.97,-17.54,-8.36,5.53
,7455,2023-05-06 22:28:08,Audius,AUDIO,0.27,282660956,0.02,1045289093,False,7741363,-0.25,-4.96,-9.81,-15.73,5.37,2.83
,5567,2023-05-06 22:28:08,Celo,CELO,0.56,281358239,0.02,498369748,False,5599918,0.18,-4.27,-7.64,-16.28,-10.53,-26.33
,4279,2023-05-06 22:28:08,Solar,SXP,0.5,281042594,0.02,563544504.7053909,False,34397031,-0.17,-7.31,-9.87,-30.97,83.53,64.79
,2577,2023-05-06 22:28:08,Ravencoin,RVN,0.02,276309230,0.02,12502506285.677616,False,6014356,0.18,-4.92,-8.07,-15.43,-11.48,-25.44
,17751,2023-05-06 22:28:08,Threshold,T,0.03,272975322,0.02,8702143645.095488,False,77779480,0.05,-1.9,-2.26,-14.26,-16.19,-29.42
,4041,2023-05-06 22:28:08,MX TOKEN,MX,2.73,272511830,0.02,99999999.9997,False,7315442,0.09,6.55,13.17,39.19,55.11,190.65
,9258,2023-05-06 22:28:08,Chia,XCH,37.48,271715711,0.02,7250309,False,3751475,0.25,-2.21,-9.6,-1.19,4.45,-13.84
,21296,2023-05-06 22:28:08,EthereumPoW,ETHW,2.47,266224612,0.02,107818999.04993,False,11978926,-1.04,-10.21,-15.48,-27.5,-26.95,-41.83
,1168,2023-05-06 22:28:08,Decred,DCR,17.68,263919648,0.02,14928891.79511452,False,1645776,0.16,-3.19,-5.46,-13.51,-15.69,-23.88
,2099,2023-05-06 22:28:08,ICON,ICX,0.27,261127708,0.02,956153319.7083496,False,8652350,0.2,-5.48,-8.71,-20.87,26.45,23.2
,5864,2023-05-06 22:28:08,yearn.finance,YFI,7887.61,260010652,0.02,32964.42659978,False,18494711,0.15,-3.49,-4.57,-6.98,-17.11,4.17
,12885,2023-05-06 22:28:08,Astar,ASTR,0.06,252369054,0.02,4498391906,False,9304526,0.35,-10.17,-13.7,-11.5,-11.71,2.63
,5632,2023-05-06 22:28:08,Arweave,AR,7.38,246552317,0.02,33394701,False,10625585,0.21,-6.98,-5.1,-11.23,-9.75,-35.47
,23121,2023-05-06 22:28:08,Blur,BLUR,0.53,245403549,0.02,459333873.2876712,False,82818325,-0.28,-10.32,-24.04,-5.56,-16.14,-90.41
,3945,2023-05-06 22:28:08,Harmony,ONE,0.02,237463350,0.02,13262892391.442507,False,13426997,0.35,-7.64,-11.12,-13.47,-1.77,-32.46
,3773,2023-05-06 22:28:08,Fetch.ai,FET,0.29,237151618,0.02,821166360.9887794,False,46696249,0.2,-6.62,-14.91,-17.74,-25.51,-35.13
,2083,2023-05-06 22:28:08,Bitcoin Gold,BTG,13.41,234783558,0.02,17513923.589,False,1978233,-0.12,-2.07,-6.03,-14.3,-12.15,-21.95
,5034,2023-05-06 22:28:08,Kusama,KSM,27.71,234681511,0.02,8470098.05726206,False,13351377,-0.12,-4.78,-12.34,-16.4,-15.18,-22.59
,1455,2023-05-06 22:28:08,Golem,GLM,0.23,231234485,0.02,1000000000,False,6096659,-0.12,-2.87,-2.63,-11.47,-2.14,-9.5
,6758,2023-05-06 22:28:08,SushiSwap,SUSHI,1.0,229366172,0.02,230150540.67138997,False,22700255,0.05,-5.06,-5.24,-11.16,-14.3,-30.49
,7080,2023-05-06 22:28:08,Gala,GALA,0.03,225738101,0.02,6977205436,False,121280774,0.37,-6.26,-18.0,-19.4,-11.26,-39.54
,8420,2023-05-06 22:28:08,DAO Maker,DAO,1.54,221957724,0.02,143942530.56,False,4741127,0.14,-1.03,-4.47,4.41,-14.64,36.68
,2777,2023-05-06 22:28:08,IoTeX,IOTX,0.02,221899481,0.02,9447734010,False,8595801,0.34,-5.05,-7.22,-18.75,-0.13,-19.63
,14783,2023-05-06 22:28:08,MAGIC,MAGIC,1.02,219566307,0.02,214478553.55380452,False,50548914,0.01,-9.76,-11.58,-22.47,-24.49,-43.89
,18069,2023-05-06 22:28:08,STEPN,GMT,0.29,218209773,0.02,747429261.3052616,False,25801635,0.1,-7.3,-13.77,-22.73,-15.99,-43.46
